gen,nevals,avg,std,min,max,bestFit
50,463,136745670.0,14863510.375180556,9939000.0,158984000.0,640000.0
51,445,138106740.0,13126734.396353116,16605000.0,158984000.0,640000.0
52,452,137777676.0,15106678.413172897,5662000.0,158984000.0,640000.0
53,457,137843912.0,14583663.066467766,19275000.0,158984000.0,640000.0
54,451,137000648.0,16168046.934620643,17600000.0,158984000.0,640000.0
55,469,137083260.0,16276305.411130624,58548000.0,158984000.0,640000.0
56,455,137295736.0,16845797.682220455,15464000.0,158984000.0,640000.0
57,455,138931176.0,14352334.020396264,70225000.0,158984000.0,640000.0
58,453,137442372.0,17741560.916154362,11464000.0,158984000.0,640000.0
59,445,136934658.0,17938149.242467463,2816000.0,158984000.0,640000.0
60,459,136891494.0,18742447.225428276,2321000.0,158984000.0,640000.0
61,458,138560696.0,14877709.366955116,50472000.0,158984000.0,640000.0
62,464,138877368.0,17048598.852239326,58695000.0,158984000.0,640000.0
63,459,139111864.0,17626716.988296602,6644000.0,158984000.0,640000.0
64,471,140315048.0,16440478.079839893,48174000.0,158984000.0,640000.0
65,463,141934694.0,14756380.244638724,58254000.0,158984000.0,640000.0
66,461,140843026.0,17109897.6523334,8379000.0,158984000.0,640000.0
67,472,140586344.0,17280584.720710814,58422000.0,158984000.0,640000.0
68,442,141380104.0,17670428.024164665,58254000.0,158984000.0,640000.0
69,458,142346378.0,17252510.053876683,9981000.0,158984000.0,640000.0
70,458,141374530.0,17469271.064160064,59199000.0,158984000.0,640000.0
71,446,141294194.0,18307285.990347233,58758000.0,158984000.0,640000.0
72,452,141252016.0,17990138.94842794,59073000.0,158984000.0,640000.0
73,450,143328360.0,17114118.88197578,16806000.0,158984000.0,640000.0
74,442,143661292.0,18532022.195830006,8493000.0,158984000.0,640000.0
75,454,144637688.0,16526216.493034817,59199000.0,158984000.0,640000.0
76,445,144492662.0,16950844.614701536,58632000.0,158984000.0,640000.0
77,460,145744438.0,15823483.160105933,58548000.0,158984000.0,640000.0
78,460,145298988.0,17293135.95077122,5560000.0,158984000.0,640000.0
79,445,145615530.0,16833521.340382114,58380000.0,158984000.0,640000.0
80,461,145463364.0,17794164.64033937,58821000.0,158984000.0,640000.0
81,450,147097214.0,16981055.84833299,15432000.0,158984000.0,640000.0
82,436,147747696.0,16227413.497399516,31668000.0,158984000.0,640000.0
83,465,148358892.0,15585888.313867003,77672000.0,158984000.0,640000.0
84,448,147794744.0,19198261.810759433,8355000.0,158984000.0,640000.0
85,453,148177552.0,18762629.15199509,9993000.0,158984000.0,640000.0
86,457,149056106.0,16949916.29202823,58317000.0,157976000.0,640000.0
87,455,150102416.0,14411880.738298662,78932000.0,157864000.0,640000.0
88,450,149394140.0,16516957.477344306,15444000.0,157864000.0,640000.0
89,458,149580258.0,17127690.240059692,5638000.0,157864000.0,640000.0
90,461,150972808.0,14442374.568440469,59199000.0,157864000.0,640000.0
91,430,151045848.0,16919031.179381873,6638000.0,157864000.0,640000.0
92,456,152110498.0,15189753.832830735,6638000.0,157864000.0,640000.0
93,462,152867092.0,14008418.727877034,58821000.0,157864000.0,640000.0
94,461,153428272.0,12342511.304836467,58821000.0,157864000.0,640000.0
95,467,153059444.0,14978926.078690154,13276000.0,157864000.0,640000.0
96,454,153188982.0,12378489.43165829,58821000.0,157864000.0,640000.0
